Date,Market Cap (USD),Number of Coins
11/12/2016,192138343.4,1.02392E+11
11/13/2016,192553965.5,1.02392E+11
11/14/2016,191325256.5,1.02392E+11
11/15/2016,188687128.5,1.02392E+11
11/16/2016,178222424.5,1.02392E+11
11/17/2016,181463596.2,1.02392E+11
11/18/2016,184223527.1,1.02392E+11
11/19/2016,180671521.2,1.02392E+11
11/20/2016,179180451.7,1.02392E+11
11/21/2016,177726631.2,1.02392E+11
11/22/2016,174517753.6,1.02392E+11
11/23/2016,176081659.9,1.02392E+11
11/24/2016,171237182.8,1.02392E+11
11/25/2016,172716184.9,1.02392E+11
11/26/2016,168573786.3,1.02392E+11
11/27/2016,167859159.5,1.02392E+11
11/28/2016,165821157,1.02392E+11
11/29/2016,168657146.4,1.02392E+11
11/30/2016,165017668.4,1.02392E+11
12/1/2016,159742879.4,1.02392E+11
12/2/2016,153821491.6,1.02392E+11
12/3/2016,162759446.3,1.02392E+11
12/4/2016,156012268.3,1.02392E+11
12/5/2016,155019938.9,1.02392E+11
12/6/2016,267225066,1.02392E+11
12/7/2016,280996434.5,1.02392E+11
12/8/2016,245200287.4,1.02392E+11
12/9/2016,260041873.9,1.02392E+11
12/10/2016,226746760.8,1.02392E+11
12/11/2016,241286344.1,1.02392E+11
12/12/2016,234113779.6,1.0247E+11
12/13/2016,219837968.3,1.0247E+11
12/14/2016,217228938.5,1.0247E+11
12/15/2016,289193977.8,1.0247E+11
12/16/2016,318602552.5,1.0247E+11
12/17/2016,281628082,1.0247E+11
12/18/2016,296994263,1.0247E+11
12/19/2016,291876838.6,1.0247E+11
12/20/2016,295142684.4,1.0247E+11
12/21/2016,286910976.2,1.0247E+11
12/22/2016,281354427.5,1.0247E+11
12/23/2016,259464067.6,1.0247E+11
12/24/2016,275052120.6,1.0247E+11
12/25/2016,267331858,1.0247E+11
12/26/2016,278825677.3,1.0247E+11
12/27/2016,258161996.6,1.0247E+11
12/28/2016,256745442.2,1.0247E+11
12/29/2016,260747705.3,1.0247E+11
12/30/2016,260917796.9,1.0247E+11
12/31/2016,252485980,1.0247E+11
1/1/2017,252763467.2,1.0247E+11
1/2/2017,252100561.1,1.0247E+11
1/3/2017,258620668.5,1.0247E+11
1/4/2017,274176026,1.0247E+11
1/5/2017,263912991.2,1.0247E+11
1/6/2017,251370075.4,1.0247E+11
1/7/2017,242816273.4,1.0247E+11
1/8/2017,241659426,1.0247E+11
