date,txvolume_usd,adjustedtxvolume_usd,txcount,marketcap_usd,price_usd,exchangevolume_usd,generatedcoins,fees,activeaddresses,mediantxvalue_usd,medianfee,averagedifficulty,paymentcount,blocksize,blockcount
9/6/15,403305.8982,403305.8982,5521,97490322.89,1.34,491968,26168.28125,8.055487735,1587,2.918571376,0.00105,6.30503E+12,5340,3651161,4978
9/7/15,263577.4303,263577.4303,5702,94661564.4,1.3,489014,25460.46875,9.256422396,1632,2.582473219,0.00105,6.33914E+12,5363,3638068,4834
9/8/15,329645.0757,329645.0757,5622,91475042.34,1.25,427892,25888.75,10.3799263,1545,2.886171247,0.00105,6.077E+12,5395,3738463,4923
9/9/15,1426044.968,1426044.968,5604,90335665.29,1.24,366748,26431.40625,9.840601069,1543,2.48,0.00105,6.20207E+12,5304,3849882,5035
9/10/15,249301.0816,249301.0816,5341,88115645.91,1.21,662782,26444.21875,7.925807171,1539,2.744299578,0.00105,6.28959E+12,5094,3651888,5003
9/11/15,843445.927,843445.927,6460,84810837.48,1.16,1942600,27238.59375,8.876728153,1701,2.33689145,0.00105,6.56179E+12,6226,3783308,5141
9/12/15,215278.7392,215278.7392,5596,72116315.29,0.987228,772430,26402.34375,11.35483319,1544,1.982219877,0.00105,6.83264E+12,5270,3826914,5026
9/13/15,233899.9545,233899.9545,6057,76089297.24,1.04,644138,26171.40625,9.578725674,1598,1.595301213,0.00105,7.02205E+12,5737,3795663,4971
9/14/15,252012.3489,252012.3489,5572,68837190.61,0.940566,741085,25588.125,9.901548419,1622,1.884654232,0.00105,6.62627E+12,5242,3740946,4851
9/15/15,1053264.725,1053264.725,5409,64073655.09,0.875189,703390,25615.3125,8.426997145,1486,1.749601541,0.00105,6.41852E+12,5168,3657282,4842
9/16/15,523583.1427,523583.1427,5872,68986632.45,0.941977,615593,26318.125,15.14661708,1510,1.8627765,0.00105,6.17911E+12,5679,3660494,4956
9/17/15,268368.7222,268368.7222,5368,66436984.82,0.906865,897940,25435.625,8.556523791,1517,2.312828907,0.00105,6.04042E+12,5098,3622311,4808
9/18/15,357505.7536,357505.7536,5802,64092723.03,0.874574,484622,25894.21875,11.83482107,1462,1.751560858,0.00105,5.65273E+12,5336,3836279,4889
9/19/15,332401.2488,332401.2488,5205,62284307.15,0.849603,386988,27187.1875,7.982204373,1367,1.614385823,0.00105,5.54829E+12,4938,3730754,5078
9/20/15,115961.7534,115961.7534,6402,64623380.44,0.881191,508314,27982.65625,10.96964547,1466,1.433437059,0.00105,6.20229E+12,6115,4063431,5305
9/21/15,148500.2226,148500.2226,6305,69069813.38,0.941496,424039,26651.875,10.18074194,1521,1.336677629,0.00105,6.54148E+12,5967,3952585,5075
9/22/15,178940.2135,178940.2135,6804,67467435.34,0.919337,487914,26370.3125,11.40414518,1535,1.05921795,0.00105,6.62403E+12,6550,4076071,5051
9/23/15,118751.5408,118751.5408,7404,66332933.29,0.90356,200541,27080.3125,10.7002671,1737,1.095650585,0.00105,6.89538E+12,7104,4049670,5165
