date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-04-24,390,219518,4612294509.7463,0.000624999999999989,0.01441342034295693382380196395,0.000625,0.0144134203429571875,0.658125,15.1773316211339184375,0,0,1016.9629082,,0.0042455253419053235,23.0614725487315,,,200000000,1053,1034,196664.00651149,4535361.587488279602339674935,198.508810961896,4577.905494679095273249634924,8.914062,205.571396110690612353,205258.1105346,4733554.2814981738120168599,,,
2019-04-25,487,221595,4384902823.78848,0.461836107814429,10.12553226641485308261293989,0.0001,0.00219245141189424,4411.92033795,96729.20974103389990458408,0,0,40.02877756,,0.004275723784110205,21.9245141189424,,,200000000,17740,1601,4996405.39121284,109543760.5436058361635541004,3127.04064865043,68558.84685184315328905890523,14.99,328.648466642946576,5006392.07848934,109762713.809800922837270474,,,
2019-04-26,460,219697,4476001556.75554,0.00185800359823399,0.04158213499076367065349074402,0.0001,0.00223800077837777,11.78345882,263.713900111423991984314,0,0,179.57357833,,0.004345493641145521,22.3800077837777,,,200000000,10883,1982,1113749.59422517,24925724.58793855951392702471,674.572410778431,15096.93580394297383239085879,32.819982195,734.5114569875455238380515,1337002.51816285,29922126.76341496871983679844,,,
2019-04-27,715,219569,4382876227.44826,0.000416041635044654,0.00911729495932959461682787301,0.000625,0.0136964882107758125,1.49109322,32.676385134236391933986,0,0,762.3706573,,0.004229099599367966,21.9143811372413,,,200000000,5034,2124,262339.58257053,5749009.599835379145366878889,144.161354093974,3159.206858876147685711313926,11.25614917,246.671543049022315084721,306198.7160956,6710155.36825292067889106828,,,
2019-04-28,550,219380,4211419865.7822343401176,0.00106717070504089,0.02386200611889008884598401473,0.000625,0.01397504050088675,3.13321319,70.058849965060114873972,0,0,789.47299637,,0.004342882039742849,22.3600648014188,,,188345602,4464,1480,238571.30372604,5334469.811073220813118505552,171.187734397777,3827.768834342363853513166008,11.69572,261.517057099249887536,253357.84690871,5665097.874826699397602077748,,,
2019-04-29,491,218889,4023384418.0488898305588,0.63302114798162,13.52241515618012867145216623,0.0001,0.00213617115309594,2000.97984877,42744.354308687505385009938,0,0,859.04290066,,0.004148871481589718,21.3617115309594,,,188345602,5246,1210,219250.51921666,4683566.344519361438226263604,184.286333469207,3936.671494667388380187067196,9.778774045,208.891350275722994668773,222986.46349774,4763372.508547529900021931756,,,
2019-04-30,472,215271,4106539487.3865703377852,1.08392506109796,23.6330501880615911177421703,0.0001,0.00218032141116126,3011.14381973,65652.613422432202913996598,0,0,416.27593963,,0.004139888876168855,21.8032141116126,,,188345602,4382,1193,452453.73097828,9864945.572117405486106374328,391.340700254417,8532.485078235461337454142854,10.84721905,236.50423946271302094003,466869.45540352,10179254.69833491669145091635,,,
2019-05-01,467,219291,4070088523.9260017249416,0.000633563093922663,0.01369109684736722572225749062,0.0001,0.00216096817802308,1.60544888,34.693239411227944001504,0,0,1983.87239732,,0.00406565737580363,21.6096817802308,,,188345602,3912,1158,94938.36511583,2051587.858888450915246133564,91.3547602970207,1974.147299127880287749398378,9.165,198.052733515815282,105788.81242395,2286062.57239008600853844766,,,
2019-05-02,544,219969,4355303634.2015362358598,0.278084148197212,6.430417744806995837090758799,0.0001,0.00231239996472099,1001.10293351,23149.503881306035976713749,0,0,292.26196084,,0.004287677530683798,23.1239996472099,,,188345602,6023,1239,644441.04001529,14902054.38196114700890183937,529.763343216094,12250.24736163369482645987613,6.75226859,156.139456493026488907041,656376.78224474,15178056.48106413711419995093,,,
2019-05-03,621,219872,4392674265.9277536930312,0.853973323508221,19.91672012582146095063820347,0.0001,0.00233224148548356,3011.10993869,70226.355163646768766029364,0,0,974.68870614,,0.004121711014201686,23.3224148548356,,,188345602,5758,1304,193236.67219393,4506745.834074710363921467908,160.167789390345,3735.499630543562036999202282,6.60037574,153.936701206072515928344,208858.79736501,4871091.518228807694936742356,,,
2019-05-04,506,219736,4264730098.389150059432,0.000318636507503401,0.007214921344408957836432259316,0.0001,0.0022643109544916,0.93424224,21.15414938180770445184,0,0,1245.51710506,,0.0039210800233781444,22.643109544916,,,188345602,4890,1058,151218.79999525,3424063.853543188850461649,157.318931373686,3562.189796583494638197480376,5.522917395,125.05602358250711021382,166443.42939336,3768796.80478534212755215776,,,
